iter	Passed	Remaining
619	2938	4171
620	2943	4166
621	2947	4160
622	2952	4155
623	2956	4150
624	2961	4145
625	2965	4140
626	2970	4135
627	2974	4130
628	2979	4125
629	2983	4120
630	2988	4115
631	2993	4110
632	2997	4105
633	3001	4100
634	3007	4096
635	3011	4091
636	3016	4086
637	3021	4081
638	3026	4077
639	3030	4072
640	3035	4067
641	3039	4062
642	3044	4057
643	3049	4053
644	3053	4048
645	3058	4043
646	3063	4038
647	3067	4033
648	3072	4028
649	3076	4023
650	3081	4018
651	3086	4014
652	3090	4009
653	3095	4004
654	3099	3999
655	3104	3994
656	3109	3989
657	3113	3984
658	3118	3979
659	3123	3975
660	3127	3970
661	3132	3965
662	3137	3961
663	3141	3955
664	3146	3950
665	3151	3946
666	3155	3940
667	3159	3935
668	3164	3930
669	3169	3926
670	3174	3921
671	3178	3916
672	3183	3912
673	3188	3907
674	3192	3902
675	3197	3896
676	3201	3892
677	3206	3887
678	3210	3882
679	3215	3877
680	3220	3872
681	3224	3867
682	3229	3863
683	3234	3858
684	3238	3853
685	3243	3848
686	3247	3843
687	3252	3838
688	3256	3833
689	3261	3828
690	3266	3824
691	3270	3818
692	3275	3813
693	3279	3808
694	3283	3803
695	3288	3798
696	3293	3793
697	3297	3789
698	3302	3784
699	3306	3779
700	3311	3774
701	3315	3769
702	3320	3764
703	3324	3759
704	3329	3754
705	3334	3749
706	3338	3744
707	3343	3739
708	3347	3735
709	3352	3730
710	3357	3725
711	3362	3721
712	3366	3716
713	3371	3711
714	3375	3706
715	3380	3701
716	3384	3696
717	3389	3691
718	3393	3686
719	3398	3681
720	3402	3676
721	3406	3671
722	3411	3666
723	3415	3661
724	3420	3656
725	3425	3651
726	3429	3646
727	3434	3641
728	3438	3637
729	3443	3631
730	3448	3627
731	3452	3622
732	3457	3617
733	3461	3612
734	3466	3607
735	3470	3602
736	3475	3597
737	3480	3593
738	3484	3588
739	3489	3583
740	3493	3578
741	3498	3573
742	3502	3568
743	3507	3563
744	3512	3559
745	3516	3554
746	3524	3552
747	3529	3548
748	3534	3543
749	3538	3538
750	3543	3533
751	3547	3529
752	3552	3523
753	3556	3518
754	3560	3513
755	3565	3508
756	3569	3503
757	3574	3499
758	3579	3494
759	3583	3489
760	3588	3485
761	3593	3480
762	3597	3475
763	3602	3470
764	3606	3465
765	3611	3460
766	3615	3455
767	3621	3451
768	3629	3450
769	3636	3447
770	3641	3442
771	3645	3437
772	3650	3432
773	3654	3427
774	3659	3423
775	3664	3419
776	3669	3414
777	3674	3409
778	3678	3404
779	3683	3400
780	3688	3395
781	3692	3390
782	3697	3385
783	3701	3380
784	3706	3375
785	3710	3370
786	3715	3365
787	3720	3361
788	3725	3356
789	3729	3351
790	3733	3346
791	3738	3341
792	3742	3336
793	3747	3332
794	3751	3327
795	3756	3322
796	3761	3317
797	3765	3312
798	3770	3307
799	3775	3303
800	3779	3298
801	3784	3293
802	3789	3289
803	3794	3284
804	3798	3279
805	3802	3274
806	3808	3270
807	3812	3265
808	3817	3260
809	3822	3255
810	3826	3250
811	3831	3246
812	3835	3241
813	3840	3236
814	3844	3231
815	3849	3226
816	3853	3221
817	3858	3216
818	3862	3211
819	3867	3206
820	3873	3203
821	3877	3198
822	3882	3193
823	3887	3188
824	3891	3183
825	3895	3178
826	3900	3173
827	3904	3169
828	3909	3164
829	3913	3159
830	3918	3154
831	3923	3149
832	3927	3144
833	3931	3139
834	3936	3135
835	3941	3130
836	3945	3125
837	3950	3120
838	3954	3115
839	3959	3110
840	3963	3105
841	3968	3101
842	3973	3096
843	3977	3091
844	3982	3086
845	3986	3081
846	3991	3077
847	3995	3072
848	4000	3067
849	4005	3062
850	4009	3057
851	4014	3053
852	4018	3048
853	4023	3043
854	4027	3038
855	4032	3033
856	4037	3029
857	4041	3024
858	4046	3019
859	4051	3014
860	4055	3010
861	4060	3005
862	4064	3000
863	4069	2995
864	4074	2990
865	4078	2986
866	4083	2981
867	4088	2976
868	4092	2971
869	4096	2966
870	4101	2962
871	4106	2957
872	4110	2952
873	4115	2947
874	4120	2943
875	4124	2938
876	4129	2933
877	4134	2928
878	4138	2923
879	4143	2918
880	4147	2914
881	4152	2909
882	4156	2904
883	4160	2899
884	4165	2894
885	4169	2889
886	4174	2884
887	4178	2879
888	4183	2875
889	4188	2870
890	4192	2865
891	4197	2861
892	4202	2856
893	4206	2851
894	4211	2846
895	4216	2842
896	4220	2837
897	4224	2832
898	4229	2827
899	4233	2822
900	4238	2817
901	4242	2812
902	4247	2808
903	4252	2803
904	4256	2798
905	4261	2793
906	4266	2789
907	4270	2784
908	4275	2779
909	4279	2774
910	4284	2770
911	4289	2765
912	4293	2760
913	4298	2755
914	4303	2751
915	4307	2746
916	4312	2741
917	4317	2737
918	4321	2732
919	4326	2727
920	4331	2723
921	4335	2718
922	4340	2713
923	4344	2708
924	4349	2703
925	4353	2698
926	4358	2693
927	4362	2689
928	4367	2684
929	4371	2679
930	4376	2674
931	4380	2669
932	4385	2664
933	4389	2660
934	4394	2655
935	4399	2650
936	4403	2645
937	4408	2641
938	4412	2636
939	4417	2631
940	4421	2626
941	4426	2622
942	4430	2617
943	4435	2612
944	4439	2607
945	4444	2602
946	4448	2597
947	4453	2592
948	4457	2588
949	4462	2583
950	4466	2578
951	4470	2573
952	4476	2569
953	4481	2564
954	4485	2559
955	4490	2555
956	4494	2550
957	4499	2545
958	4503	2540
959	4509	2536
960	4514	2531
961	4518	2527
962	4523	2522
963	4528	2517
964	4532	2512
965	4537	2508
966	4542	2503
967	4546	2498
968	4551	2493
969	4555	2489
970	4560	2484
971	4564	2479
972	4569	2474
973	4573	2469
974	4578	2465
975	4582	2460
976	4587	2455
977	4592	2451
978	4596	2446
979	4601	2441
980	4605	2436
981	4611	2432
982	4615	2427
983	4620	2422
984	4624	2418
985	4629	2413
986	4633	2408
987	4638	2403
988	4642	2398
989	4648	2394
990	4652	2389
991	4657	2385
992	4661	2380
993	4666	2375
994	4670	2370
995	4676	2366
996	4680	2361
997	4685	2356
998	4689	2352
999	4694	2347
1000	4699	2342
1001	4704	2338
1002	4708	2333
1003	4713	2328
1004	4717	2323
1005	4722	2318
1006	4726	2314
1007	4731	2309
1008	4735	2304
1009	4740	2299
1010	4744	2295
1011	4749	2290
1012	4754	2285
1013	4758	2280
1014	4762	2275
1015	4767	2271
1016	4772	2266
1017	4776	2261
1018	4781	2256
1019	4785	2252
1020	4790	2247
1021	4795	2242
1022	4799	2237
1023	4804	2233
1024	4809	2228
1025	4813	2223
1026	4818	2219
1027	4823	2214
1028	4827	2209
1029	4832	2205
1030	4837	2200
1031	4841	2195
1032	4845	2190
1033	4850	2185
1034	4855	2181
1035	4859	2176
1036	4864	2171
1037	4869	2167
1038	4873	2162
1039	4878	2157
1040	4882	2152
1041	4887	2148
1042	4892	2143
1043	4896	2138
1044	4901	2134
1045	4906	2129
1046	4911	2124
1047	4915	2120
1048	4921	2115
1049	4926	2111
1050	4930	2106
1051	4935	2101
1052	4939	2096
1053	4944	2092
1054	4948	2087
1055	4953	2082
1056	4958	2078
1057	4962	2073
1058	4967	2068
1059	4972	2063
1060	4976	2059
1061	4981	2054
1062	4985	2049
1063	4989	2044
1064	4994	2040
1065	4999	2035
1066	5004	2030
1067	5008	2025
1068	5013	2021
1069	5017	2016
1070	5022	2011
1071	5026	2007
1072	5031	2002
1073	5036	1997
1074	5040	1992
1075	5044	1987
1076	5049	1983
1077	5053	1978
1078	5058	1973
1079	5063	1968
1080	5067	1964
1081	5072	1959
1082	5076	1954
1083	5081	1950
1084	5086	1945
1085	5090	1940
1086	5095	1936
1087	5100	1931
1088	5104	1926
1089	5109	1921
1090	5114	1917
1091	5118	1912
1092	5123	1907
1093	5127	1902
1094	5132	1898
1095	5136	1893
1096	5140	1888
1097	5146	1884
1098	5150	1879
1099	5155	1874
1100	5159	1869
1101	5164	1865
1102	5168	1860
1103	5173	1855
1104	5178	1850
1105	5182	1846
1106	5187	1841
1107	5191	1836
1108	5196	1832
1109	5200	1827
1110	5205	1822
1111	5209	1817
1112	5214	1813
1113	5218	1808
1114	5223	1803
1115	5227	1798
1116	5232	1794
1117	5236	1789
1118	5240	1784
1119	5245	1779
1120	5250	1775
1121	5260	1772
1122	5264	1767
1123	5269	1762
1124	5273	1757
1125	5278	1753
1126	5282	1748
1127	5287	1743
1128	5291	1738
1129	5296	1734
1130	5301	1729
1131	5305	1724
1132	5310	1720
1133	5314	1715
1134	5319	1710
1135	5324	1705
1136	5329	1701
1137	5333	1696
1138	5337	1691
1139	5342	1687
1140	5347	1682
1141	5351	1677
1142	5356	1672
1143	5360	1668
1144	5365	1663
1145	5369	1658
1146	5374	1653
1147	5378	1649
1148	5383	1644
1149	5387	1639
1150	5392	1635
1151	5397	1630
1152	5401	1625
1153	5406	1620
1154	5411	1616
1155	5416	1611
1156	5420	1606
1157	5425	1602
1158	5429	1597
1159	5433	1592
1160	5438	1587
1161	5442	1583
1162	5447	1578
1163	5451	1573
1164	5455	1568
1165	5460	1564
1166	5464	1559
1167	5469	1554
1168	5473	1549
1169	5478	1545
1170	5482	1540
1171	5487	1535
1172	5492	1531
1173	5496	1526
1174	5501	1521
1175	5505	1516
1176	5510	1512
1177	5514	1507
1178	5519	1502
1179	5524	1498
1180	5528	1493
1181	5533	1488
1182	5537	1483
1183	5542	1479
1184	5546	1474
1185	5551	1469
1186	5556	1465
1187	5560	1460
1188	5565	1455
1189	5569	1450
1190	5574	1446
1191	5578	1441
1192	5582	1436
1193	5587	1432
1194	5592	1427
1195	5596	1422
1196	5600	1417
1197	5605	1413
1198	5610	1408
1199	5614	1403
1200	5618	1398
1201	5623	1394
1202	5628	1389
1203	5632	1384
1204	5637	1380
1205	5641	1375
1206	5645	1370
1207	5650	1365
1208	5656	1361
1209	5660	1356
1210	5664	1351
1211	5669	1347
1212	5674	1342
1213	5678	1337
1214	5683	1333
1215	5688	1328
1216	5692	1323
1217	5696	1319
1218	5701	1314
1219	5705	1309
1220	5710	1304
1221	5714	1300
1222	5719	1295
1223	5724	1290
1224	5728	1286
1225	5733	1281
1226	5737	1276
1227	5742	1271
1228	5746	1267
1229	5751	1262
1230	5755	1257
1231	5760	1253
1232	5764	1248
1233	5769	1243
1234	5773	1238
1235	5778	1234
1236	5782	1229
1237	5787	1224
1238	5791	1220
1239	5796	1215
1240	5800	1210
1241	5805	1205
1242	5809	1201
1243	5814	1196
1244	5818	1191
1245	5823	1187
1246	5827	1182
1247	5832	1177
1248	5836	1172
1249	5841	1168
1250	5845	1163
1251	5850	1158
1252	5854	1154
1253	5858	1149
1254	5863	1144
1255	5868	1139
1256	5872	1135
1257	5876	1130
1258	5881	1125
1259	5886	1121
1260	5891	1116
1261	5895	1111
1262	5900	1107
1263	5905	1102
1264	5909	1097
1265	5913	1093
1266	5918	1088
1267	5923	1083
1268	5927	1078
1269	5932	1074
1270	5936	1069
1271	5941	1064
1272	5945	1060
1273	5950	1055
1274	5954	1050
1275	5959	1046
1276	5963	1041
1277	5968	1036
1278	5972	1032
1279	5977	1027
1280	5981	1022
1281	5986	1017
1282	5990	1013
1283	5995	1008
1284	5999	1003
1285	6004	999
1286	6008	994
1287	6013	989
1288	6018	985
1289	6022	980
1290	6027	975
1291	6031	971
1292	6036	966
1293	6040	961
1294	6045	956
1295	6050	952
1296	6055	947
1297	6059	943
1298	6064	938
1299	6068	933
1300	6073	928
1301	6077	924
1302	6082	919
1303	6087	915
1304	6092	910
1305	6096	905
1306	6101	900
1307	6105	896
1308	6110	891
1309	6114	886
1310	6119	882
1311	6123	877
1312	6127	872
1313	6133	868
1314	6137	863
1315	6142	858
1316	6147	854
1317	6151	849
1318	6156	844
1319	6160	840
1320	6165	835
1321	6170	830
1322	6174	826
1323	6179	821
1324	6183	816
1325	6188	812
1326	6192	807
1327	6197	802
1328	6201	797
1329	6206	793
1330	6211	788
1331	6215	783
1332	6220	779
1333	6224	774
1334	6229	769
1335	6233	765
1336	6238	760
1337	6243	755
1338	6248	751
1339	6252	746
1340	6256	741
1341	6261	737
1342	6266	732
1343	6270	727
1344	6275	723
1345	6279	718
1346	6284	713
1347	6288	709
1348	6293	704
1349	6297	699
1350	6301	695
1351	6306	690
1352	6310	685
1353	6315	680
1354	6319	676
1355	6324	671
1356	6328	666
1357	6333	662
1358	6337	657
1359	6342	652
1360	6346	648
1361	6351	643
1362	6355	638
1363	6360	634
1364	6364	629
1365	6369	624
1366	6374	620
1367	6378	615
1368	6382	610
1369	6387	606
1370	6392	601
1371	6396	596
1372	6401	592
1373	6405	587
1374	6409	582
1375	6414	578
1376	6418	573
1377	6423	568
1378	6428	564
1379	6432	559
1380	6437	554
1381	6442	550
1382	6446	545
1383	6451	540
1384	6456	536
1385	6461	531
1386	6465	526
1387	6469	522
1388	6474	517
1389	6478	512
1390	6483	508
1391	6487	503
1392	6492	498
1393	6496	493
1394	6501	489
1395	6505	484
1396	6510	479
1397	6514	475
1398	6518	470
1399	6523	465
1400	6527	461
1401	6532	456
1402	6536	451
1403	6542	447
1404	6546	442
1405	6551	437
1406	6556	433
1407	6560	428
1408	6564	423
1409	6569	419
1410	6573	414
1411	6578	409
1412	6582	405
1413	6587	400
1414	6591	395
1415	6596	391
1416	6600	386
1417	6605	381
1418	6610	377
1419	6614	372
1420	6619	368
1421	6623	363
1422	6628	358
1423	6632	353
1424	6638	349
1425	6642	344
1426	6646	340
1427	6651	335
1428	6656	330
1429	6661	326
1430	6665	321
1431	6670	316
1432	6675	312
1433	6679	307
1434	6684	302
1435	6688	298
1436	6693	293
1437	6697	288
1438	6701	284
1439	6706	279
1440	6710	274
1441	6715	270
1442	6720	265
1443	6724	260
1444	6728	256
1445	6733	251
1446	6738	246
1447	6743	242
1448	6747	237
1449	6752	232
1450	6756	228
1451	6761	223
1452	6765	218
1453	6770	214
1454	6775	209
1455	6779	204
1456	6784	200
1457	6788	195
1458	6793	190
1459	6797	186
1460	6802	181
1461	6806	176
1462	6811	172
1463	6815	167
1464	6820	162
1465	6824	158
1466	6829	153
1467	6833	148
1468	6838	144
1469	6842	139
1470	6847	134
1471	6851	130
1472	6856	125
1473	6860	121
1474	6865	116
1475	6870	111
1476	6874	107
1477	6878	102
1478	6883	97
1479	6887	93
1480	6891	88
1481	6896	83
1482	6900	79
1483	6905	74
1484	6909	69
1485	6914	65
1486	6919	60
1487	6923	55
1488	6927	51
1489	6932	46
1490	6937	41
1491	6941	37
1492	6945	32
1493	6950	27
1494	6955	23
1495	6959	18
1496	6964	13
1497	6969	9
1498	6973	4
1499	6978	0
