iter	RMSE
0	46.79237025
1	46.72937829
2	46.6732224
3	46.62631162
4	46.58024743
5	46.53862089
6	46.50276899
7	46.4632718
8	46.43283662
9	46.40604111
10	46.38159673
11	46.35866097
12	46.33921294
13	46.32345487
14	46.30710602
15	46.29178896
16	46.27830288
17	46.26582871
18	46.25571976
19	46.243541
20	46.23711145
21	46.22938197
22	46.2218329
23	46.21499676
24	46.20696071
25	46.19882109
26	46.18940648
27	46.18561573
28	46.17890632
29	46.17442523
30	46.17056545
31	46.16816915
32	46.16322666
33	46.15983619
34	46.15583481
35	46.15348631
36	46.14850482
37	46.14458785
38	46.14277774
39	46.14051905
40	46.13737395
41	46.13507611
42	46.13273448
43	46.12986784
44	46.12847667
45	46.12744018
46	46.1255216
47	46.12445324
48	46.12358168
49	46.12191391
50	46.12009315
51	46.11949035
52	46.11854878
53	46.11744911
54	46.11644449
55	46.11300304
56	46.11246091
57	46.11181476
58	46.11121031
59	46.10884296
60	46.10635604
61	46.10563463
62	46.10486262
63	46.10293228
64	46.10176241
65	46.09854947
66	46.09840948
67	46.09738296
68	46.09648665
69	46.09608491
70	46.0955758
71	46.09464301
72	46.09400852
73	46.09361604
74	46.09228497
75	46.09130617
76	46.09007472
77	46.08909311
78	46.08885538
79	46.08742842
80	46.08614997
81	46.08537811
82	46.08317767
83	46.08230753
84	46.08179694
85	46.08092221
86	46.08068853
87	46.08011687
88	46.07969949
89	46.07910185
90	46.07681386
91	46.07625159
92	46.07604175
93	46.07574136
94	46.07541031
95	46.07477528
96	46.07423323
97	46.07354186
98	46.07247311
99	46.07180599
100	46.07153085
101	46.071327
102	46.07065077
103	46.07012871
104	46.06966311
105	46.06929363
106	46.06837345
107	46.06780471
108	46.0662475
109	46.06607214
110	46.06574265
111	46.06534015
112	46.06419142
113	46.06380135
114	46.06297527
115	46.06272666
116	46.06158129
117	46.06114678
118	46.06092454
119	46.06031453
120	46.0597795
121	46.05945231
122	46.05876436
123	46.05858331
124	46.05778826
125	46.05758558
126	46.05729458
127	46.05637828
